word,cluster_label_2,cluster_label_3,cluster_label_4,cluster_label_5,cluster_label_6,cluster_label_7,cluster_label_8,cluster_label_9,cluster_label_10,cluster_label_11,cluster_label_12,cluster_label_13,cluster_label_14
mesmerizing,0,0,1,4,1,2,6,0,0,10,5,11,10
brainless,1,1,3,1,4,6,0,2,3,4,2,1,1
amateurish,1,1,3,1,4,6,0,2,3,4,2,1,1
scorching,0,0,1,3,1,3,6,0,0,10,6,11,7
resplendent,0,0,1,4,1,2,6,6,2,1,3,0,12
saintly,1,1,3,3,5,4,1,5,7,3,3,10,10
penniless,1,1,3,3,5,4,1,8,7,3,7,7,8
moronic,1,1,3,1,4,6,0,2,3,4,2,1,1
gargantuan,1,2,0,2,3,1,3,7,4,0,1,2,9
inane,1,1,3,1,4,6,0,2,3,4,2,1,1
sumptuous,0,0,1,4,1,2,6,6,2,1,3,3,11
horrified,1,1,3,3,5,4,1,8,8,2,10,9,5
spotless,0,0,1,3,5,3,2,5,5,5,6,0,12
destitute,1,1,3,3,5,4,1,8,7,3,7,7,8
minuscule,1,2,0,2,3,1,3,7,9,7,4,4,3
immaculate,0,0,1,4,1,3,2,5,5,5,6,0,12
grotesque,1,1,3,1,0,0,6,4,6,6,1,10,4
mammoth,1,2,0,2,3,1,3,7,4,0,1,2,9
colossal,1,2,0,2,3,1,4,7,4,0,1,2,9
seductive,1,1,1,4,1,2,6,6,2,1,3,3,10
ecstatic,0,0,2,0,2,5,1,8,8,2,10,9,5
idiotic,1,1,3,1,4,6,0,2,3,4,2,1,1
sensational,0,0,1,4,1,3,6,0,0,10,5,11,2
microscopic,1,2,0,3,3,4,3,7,9,7,4,4,3
monstrous,1,2,0,2,3,1,3,7,4,0,1,10,4
breathtaking,0,0,1,4,1,2,6,0,0,10,5,11,2
hideous,1,1,3,1,0,0,7,4,6,6,0,10,4
staggering,1,2,0,2,3,1,4,1,4,0,1,2,9
terrified,1,1,3,3,5,4,1,8,8,2,10,9,5
monumental,1,2,0,2,3,1,4,1,4,0,1,2,9
phenomenal,0,0,2,0,2,5,2,3,1,9,9,5,13
gigantic,1,2,0,2,3,1,3,7,4,0,1,2,9
marvelous,0,0,2,4,1,5,5,3,1,9,9,5,13
obese,1,1,3,3,5,4,1,5,7,3,6,1,7
superb,0,0,2,4,2,3,2,0,0,10,5,5,13
filthy,1,1,3,3,5,4,1,5,6,3,6,6,4
disastrous,1,1,3,1,0,0,7,4,6,10,0,6,2
formidable,0,2,0,2,3,3,2,5,4,0,6,2,10
immense,0,2,0,2,3,1,4,1,4,8,8,8,0
freezing,1,1,3,3,5,4,1,5,7,3,6,6,7
wicked,1,1,3,1,0,0,6,4,6,6,1,10,10
glorious,0,0,1,4,1,2,6,0,0,10,5,11,2
magnificent,0,0,1,4,1,2,6,0,0,10,5,5,2
exceptional,0,0,2,0,2,3,2,5,5,5,11,12,6
fabulous,0,0,1,4,1,2,5,3,1,9,9,3,11
miserable,1,1,3,3,0,0,7,4,6,3,0,6,7
spectacular,0,0,1,4,1,3,6,0,0,10,5,11,2
gorgeous,0,0,1,4,1,2,5,6,2,1,3,3,11
terrific,0,0,2,0,2,5,2,3,1,9,9,5,13
delicious,0,0,1,4,1,2,5,6,2,1,3,3,11
outstanding,0,0,2,0,2,3,2,5,5,5,11,12,6
overwhelming,0,2,0,0,2,1,4,1,4,8,8,8,0
tremendous,0,2,2,0,2,5,4,1,4,8,8,8,0
fantastic,0,0,2,0,2,5,5,3,1,9,9,5,13
extraordinary,0,0,2,0,2,3,4,1,5,8,11,12,6
ugly,1,1,3,1,0,0,7,4,6,6,0,6,4
brilliant,0,0,2,4,1,3,2,0,0,10,5,5,2
horrible,1,1,3,1,0,0,7,4,6,6,0,6,4
enormous,0,2,0,2,3,1,4,1,4,8,8,8,0
awesome,0,0,2,0,2,5,5,3,1,9,9,5,13
excellent,0,0,2,0,2,3,2,5,5,5,9,12,6
terrible,1,1,3,1,0,0,7,4,6,6,0,6,4
tiny,1,2,0,3,3,4,3,7,9,7,4,4,3
stupid,1,1,3,1,4,6,0,2,3,4,2,1,1
wonderful,0,0,2,0,2,5,5,3,1,9,9,5,13
huge,0,2,0,2,3,1,4,1,4,0,8,8,0
beautiful,0,0,1,4,1,2,5,6,2,1,3,3,11
major,1,2,0,2,3,1,4,7,4,0,6,2,9
